Date,Open,High,Low,Close
2020-04-01 00:00:00+05:30,248.6976410077519,253.67159382790695,239.65409042565184,241.14627075195312
2020-04-03 00:00:00+05:30,245.91669349537017,245.91669349537017,236.46620141292124,239.4505615234375
2020-04-07 00:00:00+05:30,248.4941682612208,248.4941682612208,237.3932148758208,241.7793426513672
2020-04-08 00:00:00+05:30,242.36714099702382,281.25440615699404,239.6540759858631,246.888916015625
2020-04-09 00:00:00+05:30,249.3758418426305,256.3845917040281,247.11495479056674,247.90626525878906
2020-04-13 00:00:00+05:30,264.63686408798816,269.0455944166646,253.21938298039018,254.71156311035156
2020-04-15 00:00:00+05:30,260.27335225312845,260.27335225312845,249.44372344458452,251.2071990966797
2020-04-16 00:00:00+05:30,248.69765444650517,259.5499157314436,247.34112178588788,254.3272705078125
2020-04-17 00:00:00+05:30,259.05247805700765,263.1672819064339,251.72719768007386,253.12893676757812
2020-04-20 00:00:00+05:30,254.57591544632362,258.50986495253886,254.12373797661434,255.4802703857422
2020-04-21 00:00:00+05:30,254.07854485004108,254.07854485004108,242.38974007403723,247.13760375976562
2020-04-22 00:00:00+05:30,244.67323521702065,247.2506524973682,241.96017020585992,244.51498413085938
2020-04-23 00:00:00+05:30,247.5219287389749,250.3480375910425,244.67318893711538,245.82626342773438
2020-04-24 00:00:00+05:30,244.17580094614797,249.60192985606238,239.65402685455265,241.01055908203125
2020-04-27 00:00:00+05:30,244.04019511123735,244.04019511123735,237.50622490815547,238.8175506591797
2020-04-28 00:00:00+05:30,240.96540699874433,240.98801035458192,234.47664314730568,234.9966583251953
2020-04-29 00:00:00+05:30,236.98618365889394,239.65404157630707,232.2157172189587,237.86793518066406
2020-04-30 00:00:00+05:30,240.60362817067883,241.0105989457238,237.84535655806891,238.36537170410156
2020-05-04 00:00:00+05:30,235.13228095376235,235.13228095376235,227.8974415398004,230.5200653076172
2020-05-05 00:00:00+05:30,231.67310321734553,234.68009427012163,226.76698897199614,227.80699157714844
2020-05-06 00:00:00+05:30,228.96005168468645,231.04007068837043,226.08872215346534,228.349609375
2020-05-07 00:00:00+05:30,226.08874169498884,240.0158026636555,226.08874169498884,231.31138610839844
2020-05-08 00:00:00+05:30,232.4870378900917,234.63488069382674,226.08871618263504,226.9252471923828
2020-05-11 00:00:00+05:30,226.99309271776997,229.7287609250025,223.87307089646174,224.5965576171875
2020-05-12 00:00:00+05:30,224.28003434742945,226.04352379311146,221.13739528188907,223.1043701171875
2020-05-13 00:00:00+05:30,229.57049480206854,236.82793728898437,226.0887229489111,228.96005249023438
2020-05-14 00:00:00+05:30,227.44526582672768,230.38441936126787,224.2800235587613,225.22959899902344
2020-05-15 00:00:00+05:30,230.6104834390646,238.74967697220808,228.34959634652478,236.53399658203125
2020-05-18 00:00:00+05:30,249.14977500601992,257.28896910785,242.36711325449488,247.56715393066406
2020-05-19 00:00:00+05:30,249.12718575833802,252.74460556396238,235.13228736558415,238.6140594482422
2020-05-20 00:00:00+05:30,235.58446633667455,241.55321457358633,230.67833793428224,239.9027557373047
2020-05-21 00:00:00+05:30,244.42451592187308,246.32366673817603,239.65404932764258,241.66624450683594
2020-05-22 00:00:00+05:30,241.46276204883634,247.20542127273842,239.6992589269685,241.80189514160156
2020-05-26 00:00:00+05:30,244.17584952184336,244.17584952184336,239.42798578114085,240.15145874023438
2020-05-27 00:00:00+05:30,241.9149003278888,242.34447436223317,236.3305206775637,239.31488037109375
2020-05-28 00:00:00+05:30,240.33233597989306,262.3759886215107,240.33233597989306,251.2071990966797
2020-05-29 00:00:00+05:30,251.11669061598568,253.55845944594589,247.7931979962164,251.47845458984375
